19:03:08.329 > 16 channel Servo test!
19:03:08.854 > Angle: 0 pulse: 125
19:03:09.356 > Angle: 20 pulse: 175
19:03:09.856 > Angle: 40 pulse: 225
19:03:10.357 > Angle: 60 pulse: 275
19:03:10.858 > Angle: 80 pulse: 325
19:03:11.359 > Angle: 100 pulse: 375
19:03:11.860 > Angle: 120 pulse: 425
19:03:12.361 > Angle: 140 pulse: 475
19:03:12.863 > Angle: 160 pulse: 525
19:03:13.364 > Angle: 180 pulse: 575
19:03:14.865 > Angle: 0 pulse: 125
19:03:15.366 > Angle: 20 pulse: 175
19:03:15.867 > Angle: 40 pulse: 225
19:03:16.368 > Angle: 60 pulse: 275
19:03:16.869 > Angle: 80 pulse: 325
19:03:17.371 > Angle: 100 pulse: 375
19:03:17.872 > Angle: 120 pulse: 425
19:03:18.373 > Angle: 140 pulse: 475
19:03:18.874 > Angle: 160 pulse: 525
19:03:19.375 > Angle: 180 pulse: 575
19:03:20.876 > Angle: 0 pulse: 125
19:03:21.377 > Angle: 20 pulse: 175
19:03:21.879 > Angle: 40 pulse: 225
19:03:22.380 > Angle: 60 pulse: 275
19:03:22.881 > Angle: 80 pulse: 325
19:03:23.382 > Angle: 100 pulse: 375
19:03:23.883 > Angle: 120 pulse: 425
19:03:24.384 > Angle: 140 pulse: 475
19:03:24.886 > Angle: 160 pulse: 525
19:03:25.387 > Angle: 180 pulse: 575
19:03:26.888 > Angle: 0 pulse: 125
19:03:27.389 > Angle: 20 pulse: 175
19:03:27.890 > Angle: 40 pulse: 225
19:03:28.391 > Angle: 60 pulse: 275
19:03:28.892 > Angle: 80 pulse: 325
19:03:29.394 > Angle: 100 pulse: 375
19:03:29.895 > Angle: 120 pulse: 425
19:03:30.396 > Angle: 140 pulse: 475
19:03:30.897 > Angle: 160 pulse: 525
19:03:31.398 > Angle: 180 pulse: 575
19:03:32.899 > Angle: 0 pulse: 125
19:03:33.400 > Angle: 20 pulse: 175
19:03:33.901 > Angle: 40 pulse: 225
19:03:34.403 > Angle: 60 pulse: 275
19:03:34.904 > Angle: 80 pulse: 325
19:03:35.405 > Angle: 100 pulse: 375
19:03:35.906 > Angle: 120 pulse: 425
19:03:36.407 > Angle: 140 pulse: 475
19:03:36.909 > Angle: 160 pulse: 525
19:03:37.410 > Angle: 180 pulse: 575
19:03:38.911 > Angle: 0 pulse: 125
19:03:39.412 > Angle: 20 pulse: 175
19:03:39.913 > Angle: 40 pulse: 225
19:03:40.414 > Angle: 60 pulse: 275
19:03:40.915 > Angle: 80 pulse: 325
19:03:41.417 > Angle: 100 pulse: 375
19:03:41.918 > Angle: 120 pulse: 425
19:03:42.419 > Angle: 140 pulse: 475
19:03:42.920 > Angle: 160 pulse: 525
19:03:43.421 > Angle: 180 pulse: 575
19:03:44.922 > Angle: 0 pulse: 125
19:03:45.423 > Angle: 20 pulse: 175
