17:40:18.757 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:18.876 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:18.996 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:19.116 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:19.236 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:19.356 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:19.476 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:19.596 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:19.716 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:19.836 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:19.956 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:20.076 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:20.196 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:20.316 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:20.436 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:20.556 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:20.676 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:20.796 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:20.916 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:21.036 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:21.156 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:21.277 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:21.397 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:21.516 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:21.636 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:21.756 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:21.876 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:21.996 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:22.117 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:22.237 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:22.357 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:22.477 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:22.596 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:22.716 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:22.836 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:22.956 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:23.077 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:23.197 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:23.317 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:23.436 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:23.556 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:23.676 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:23.796 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:23.917 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:24.037 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:24.156 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:24.276 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:24.396 > Left | servo y-axis (up) | servo turn 180 degree | gripper on
17:40:24.516 > Left | servo y-axis (up) | servo turn 180 degree | gripper on
17:40:24.636 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:24.756 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:24.876 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:24.997 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:25.117 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:25.237 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:25.356 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:25.476 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:25.596 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:25.716 > Left | servo y-axis (up) | servo turn 180 degree | gripper on
17:40:25.836 > Left | servo y-axis (up) | servo turn 180 degree | gripper on
17:40:25.956 > Left | servo y-axis (up) | servo turn 180 degree | gripper on
17:40:26.076 > Left | servo y-axis (up) | servo turn 180 degree | gripper on
17:40:26.196 > Left | servo y-axis (up) | servo turn 180 degree | gripper on
17:40:26.316 > Left | servo y-axis (up) | servo turn 180 degree | gripper on
17:40:26.436 > Left | servo y-axis (up) | servo turn 180 degree | gripper on
17:40:26.556 > Left | servo y-axis (up) | servo turn 180 degree | gripper on
17:40:26.676 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:26.796 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:26.916 > Left | servo y-axis (up) | servo turn 180 degree | gripper on
17:40:27.036 > Left | servo y-axis (up) | servo turn 180 degree | gripper on
17:40:27.156 > Left | servo y-axis (up) | servo turn 180 degree | gripper on
17:40:27.276 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:27.396 > Left | servo y-axis (up) | servo turn 90 degree | gripper on
17:40:27.516 > Left | servo y-axis (up) | servo turn 180 degree | gripper on
17:40:27.636 > Left | servo y-axis (up) | servo turn 180 degree | gripper on
17:40:27.756 > Left | servo y-axis (up) | servo turn 180 degree | gripper on
17:40:27.876 > Left | servo y-axis (up) | servo turn 0 degree | gripper on
17:40:27.996 > Left | servo y-axis (up) | servo turn 180 degree | gripper on
17:40:28.116 > forward | servo y-axis (up) | servo turn 180 degree | gripper on
