17:45:32.449 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:32.569 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:32.688 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:32.809 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:32.928 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:33.048 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:33.168 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:33.289 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:33.409 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:33.529 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:33.648 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:33.769 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:33.888 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:34.009 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:34.129 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:34.249 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:34.369 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:34.488 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:34.608 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:34.729 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:34.849 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:34.969 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:35.089 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:35.209 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:35.329 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:35.449 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:35.569 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:35.689 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:35.809 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:35.929 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:36.048 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:36.168 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:36.288 > Left | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:36.408 > Left | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:36.528 > Left | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:36.649 > Left | servo y-axis (up) | servo turn 0 degree | gripper on
17:45:36.769 > Left | servo y-axis (up) | servo turn 0 degree | gripper on
