17:47:02.346 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:02.466 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:02.586 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:02.706 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:02.826 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:02.946 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:03.066 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:03.186 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:03.306 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:03.426 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:03.546 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:03.666 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:03.786 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:03.906 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:04.026 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:04.146 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:04.266 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:04.386 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:04.506 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:04.626 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:04.746 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:04.867 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:04.987 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:05.107 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:05.227 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:05.347 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:05.466 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:05.586 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:05.706 > forward | servo y-axis (up) | servo turn 0 degree | gripper off
17:47:05.826 > forward | servo y-axis (up) | servo turn 0 degree | gripper off
17:47:05.946 > forward | servo y-axis (up) | servo turn 0 degree | gripper off
17:47:06.066 > forward | servo y-axis (up) | servo turn 0 degree | gripper off
17:47:06.186 > forward | servo y-axis (up) | servo turn 0 degree | gripper off
17:47:06.306 > forward | servo y-axis (up) | servo turn 0 degree | gripper off
17:47:06.426 > forward | servo y-axis (up) | servo turn 0 degree | gripper off
17:47:06.546 > forward | servo y-axis (up) | servo turn 0 degree | gripper off
17:47:06.666 > forward | servo y-axis (up) | servo turn 0 degree | gripper off
17:47:06.786 > forward | servo y-axis (up) | servo turn 0 degree | gripper off
17:47:06.906 > forward | servo y-axis (up) | servo turn 0 degree | gripper off
17:47:07.027 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:07.146 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:07.266 > forward | servo y-axis (up) | servo turn 0 degree | gripper off
17:47:07.386 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:07.506 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:07.626 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:07.746 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:07.866 > forward | servo y-axis (up) | servo turn 0 degree | gripper off
17:47:07.986 > forward | servo y-axis (up) | servo turn 0 degree | gripper off
17:47:08.106 > forward | servo y-axis (up) | servo turn 0 degree | gripper off
17:47:08.226 > forward | servo y-axis (up) | servo turn 0 degree | gripper off
17:47:08.346 > forward | servo y-axis (up) | servo turn 0 degree | gripper off
17:47:08.466 > forward | servo y-axis (up) | servo turn 0 degree | gripper off
17:47:08.586 > forward | servo y-axis (up) | servo turn 0 degree | gripper off
17:47:08.706 > forward | servo y-axis (up) | servo turn 0 degree | gripper off
17:47:08.826 > forward | servo y-axis (up) | servo turn 0 degree | gripper off
17:47:08.946 > forward | servo y-axis (up) | servo turn 0 degree | gripper off
17:47:09.066 > forward | servo y-axis (up) | servo turn 0 degree | gripper off
17:47:09.186 > forward | servo y-axis (up) | servo turn 0 degree | gripper off
17:47:09.306 > forward | servo y-axis (up) | servo turn 0 degree | gripper off
17:47:09.426 > forward | servo y-axis (up) | servo turn 0 degree | gripper off
17:47:09.546 > forward | servo y-axis (up) | servo turn 0 degree | gripper off
17:47:09.666 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:09.786 > forward | servo y-axis (up) | servo turn 0 degree | gripper off
17:47:09.906 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:10.026 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:10.146 > forward | servo y-axis (up) | servo turn 0 degree | gripper off
17:47:10.266 > forward | servo y-axis (up) | servo turn 0 degree | gripper off
17:47:10.386 > forward | servo y-axis (up) | servo turn 0 degree | gripper off
17:47:10.505 > forward | servo y-axis (up) | servo turn 0 degree | gripper off
17:47:10.625 > forward | servo y-axis (up) | servo turn 0 degree | gripper off
17:47:10.745 > forward | servo y-axis (up) | servo turn 0 degree | gripper off
17:47:10.866 > forward | servo y-axis (up) | servo turn 0 degree | gripper off
17:47:10.986 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:11.106 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:11.226 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:11.346 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:11.466 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:11.586 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:11.706 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:11.826 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:47:11.946 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
