17:47:43.005 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:47:43.125 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:47:43.245 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:47:43.365 > Stop |  | servo turn 0 degree | gripper off
17:47:43.485 > Stop |  | servo turn 0 degree | gripper off
17:47:43.605 > Stop |  | servo turn 0 degree | gripper off
17:47:43.725 > Stop |  | servo turn 0 degree | gripper off
17:47:43.845 > Stop |  | servo turn 0 degree | gripper off
17:47:43.965 > Stop |  | servo turn 0 degree | gripper off
17:47:44.085 > Stop |  | servo turn 0 degree | gripper off
17:47:44.205 > Stop |  | servo turn 0 degree | gripper off
17:47:44.325 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:47:44.445 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:47:44.565 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:47:44.685 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:47:44.805 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:47:44.925 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:47:45.045 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:47:45.165 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:47:45.285 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:47:45.405 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:47:45.525 > Right |  | servo turn 0 degree | gripper off
17:47:45.645 > Right | servo y-axis (down) | servo turn 0 degree | gripper off
17:47:45.765 > Stop | servo y-axis (down) | servo turn 0 degree | gripper off
17:47:45.885 > Stop | servo y-axis (down) | servo turn 0 degree | gripper off
17:47:46.005 > Stop | servo y-axis (down) | servo turn 0 degree | gripper off
17:47:46.125 > Stop | servo y-axis (down) | servo turn 0 degree | gripper off
17:47:46.245 > Stop | servo y-axis (down) | servo turn 0 degree | gripper off
17:47:46.365 > Stop | servo y-axis (down) | servo turn 0 degree | gripper off
17:47:46.485 > Stop | servo y-axis (down) | servo turn 0 degree | gripper off
17:47:46.605 > Stop | servo y-axis (down) | servo turn 0 degree | gripper off
17:47:46.725 > Stop | servo y-axis (down) | servo turn 0 degree | gripper off
17:47:46.845 > Stop | servo y-axis (down) | servo turn 0 degree | gripper off
