15:04:03.531 > ---------------------------------------1
15:04:03.537 > positionC: 130
15:04:03.543 > positionC: 131
15:04:03.548 > positionC: 132
15:04:03.553 > positionC: 133
15:04:03.559 > positionC: 134
15:04:03.564 > positionC: 135
15:04:03.569 > positionC: 136
15:04:03.575 > positionC: 137
15:04:03.580 > positionC: 138
15:04:03.585 > positionC: 139
15:04:03.590 > positionC: 140
15:04:03.596 > positionC: 141
15:04:03.601 > positionC: 142
15:04:03.607 > positionC: 143
15:04:03.612 > positionC: 144
15:04:03.617 > positionC: 145
15:04:03.623 > positionC: 146
15:04:03.628 > positionC: 147
15:04:03.633 > positionC: 148
15:04:03.638 > positionC: 149
15:04:03.644 > positionC: 150
15:04:03.649 > positionC: 151
15:04:03.654 > positionC: 152
15:04:03.660 > positionC: 153
15:04:03.665 > positionC: 154
15:04:03.670 > positionC: 155
15:04:03.675 > positionC: 156
15:04:03.681 > positionC: 157
15:04:03.686 > positionC: 158
15:04:03.691 > positionC: 159
15:04:03.697 > positionC: 160
15:04:03.702 > positionC: 161
15:04:03.708 > positionC: 162
15:04:03.713 > positionC: 163
15:04:03.718 > positionC: 164
15:04:03.723 > positionC: 165
15:04:03.729 > positionC: 166
15:04:03.734 > positionC: 167
15:04:03.739 > positionC: 168
15:04:03.745 > positionC: 169
15:04:03.750 > positionC: 170
15:04:03.755 > positionC: 171
15:04:03.760 > positionC: 172
15:04:03.766 > positionC: 173
15:04:03.771 > positionC: 174
15:04:03.776 > positionC: 175
15:04:03.782 > positionC: 176
15:04:03.787 > positionC: 177
15:04:03.793 > positionC: 178
15:04:03.798 > positionC: 179
15:04:03.803 > positionC: 180
