15:08:35.041 > ---------------------------------------:1
15:08:35.047 > positionC: 130
15:08:35.052 > positionC: 131
15:08:35.057 > positionC: 132
15:08:35.062 > positionC: 133
15:08:35.068 > positionC: 134
15:08:35.073 > positionC: 135
15:08:35.078 > positionC: 136
15:08:35.084 > positionC: 137
15:08:35.089 > positionC: 138
15:08:35.094 > positionC: 139
15:08:35.100 > positionC: 140
15:08:35.105 > positionC: 141
15:08:35.110 > positionC: 142
15:08:35.116 > positionC: 143
15:08:35.121 > positionC: 144
15:08:35.126 > positionC: 145
15:08:35.131 > positionC: 146
15:08:35.137 > positionC: 147
15:08:35.142 > positionC: 148
15:08:35.148 > positionC: 149
15:08:35.153 > positionC: 150
15:08:35.158 > positionC: 151
15:08:35.163 > positionC: 152
15:08:35.169 > positionC: 153
15:08:35.174 > positionC: 154
15:08:35.179 > positionC: 155
15:08:35.185 > positionC: 156
15:08:35.190 > positionC: 157
15:08:35.195 > positionC: 158
15:08:35.200 > positionC: 159
15:08:35.206 > positionC: 160
15:08:35.211 > positionC: 161
15:08:35.216 > positionC: 162
15:08:35.222 > positionC: 163
15:08:35.227 > positionC: 164
15:08:35.232 > positionC: 165
15:08:35.238 > positionC: 166
15:08:35.243 > positionC: 167
15:08:35.248 > positionC: 168
15:08:35.254 > positionC: 169
15:08:35.259 > positionC: 170
15:08:35.264 > positionC: 171
15:08:35.270 > positionC: 172
15:08:35.275 > positionC: 173
15:08:35.280 > positionC: 174
15:08:35.285 > positionC: 175
15:08:35.291 > positionC: 176
15:08:35.296 > positionC: 177
15:08:35.301 > positionC: 178
15:08:35.307 > positionC: 179
15:08:35.312 > positionC: 180
15:08:37.312 > ---------------------------------------:-1
15:08:37.318 > positionC: 180
15:08:37.323 > positionC: 179
15:08:37.328 > positionC: 178
15:08:37.334 > positionC: 177
15:08:37.339 > positionC: 176
15:08:37.344 > positionC: 175
15:08:37.349 > positionC: 174
15:08:37.355 > positionC: 173
15:08:37.360 > positionC: 172
15:08:37.365 > positionC: 171
15:08:37.371 > positionC: 170
15:08:37.377 > positionC: 169
15:08:37.382 > positionC: 168
15:08:37.387 > positionC: 167
15:08:37.392 > positionC: 166
15:08:37.398 > positionC: 165
15:08:37.403 > positionC: 164
15:08:37.408 > positionC: 163
15:08:37.413 > positionC: 162
15:08:37.419 > positionC: 161
15:08:37.424 > positionC: 160
15:08:37.429 > positionC: 159
15:08:37.435 > positionC: 158
15:08:37.440 > positionC: 157
15:08:37.445 > positionC: 156
15:08:37.450 > positionC: 155
15:08:37.456 > positionC: 154
15:08:37.461 > positionC: 153
15:08:37.466 > positionC: 152
15:08:37.472 > positionC: 151
15:08:37.477 > positionC: 150
15:08:37.482 > positionC: 149
15:08:37.488 > positionC: 148
15:08:37.493 > positionC: 147
15:08:37.498 > positionC: 146
15:08:37.504 > positionC: 145
15:08:37.509 > positionC: 144
15:08:37.514 > positionC: 143
15:08:37.520 > positionC: 142
15:08:37.525 > positionC: 141
15:08:37.530 > positionC: 140
15:08:37.536 > positionC: 139
15:08:37.541 > positionC: 138
15:08:37.546 > positionC: 137
15:08:37.551 > positionC: 136
15:08:37.557 > positionC: 135
15:08:37.562 > positionC: 134
15:08:37.567 > positionC: 133
15:08:37.573 > positionC: 132
15:08:37.578 > positionC: 131
15:08:37.583 > positionC: 130
15:08:37.589 > positionC: 129
15:08:37.594 > positionC: 128
15:08:37.599 > positionC: 127
15:08:37.604 > positionC: 126
15:08:37.610 > positionC: 125
