19:14:32.821 > ok---------------------------------------:1
19:14:34.828 > positionC: 0
19:14:34.833 > positionC: 1
19:14:34.838 > positionC: 2
19:14:34.843 > positionC: 3
19:14:34.849 > positionC: 4
19:14:34.854 > positionC: 5
19:14:34.859 > positionC: 6
19:14:34.865 > positionC: 7
19:14:34.870 > positionC: 8
19:14:34.875 > positionC: 9
19:14:34.881 > positionC: 10
19:14:34.886 > positionC: 11
19:14:34.891 > positionC: 12
19:14:34.896 > positionC: 13
19:14:34.901 > positionC: 14
19:14:34.908 > positionC: 15
19:14:34.912 > positionC: 16
19:14:34.917 > positionC: 17
19:14:34.923 > positionC: 18
19:14:34.928 > positionC: 19
19:14:34.934 > positionC: 20
19:14:34.939 > positionC: 21
19:14:34.944 > positionC: 22
19:14:34.949 > positionC: 23
19:14:34.954 > positionC: 24
19:14:34.960 > positionC: 25
19:14:34.965 > positionC: 26
19:14:34.970 > positionC: 27
19:14:34.976 > positionC: 28
19:14:34.981 > positionC: 29
19:14:34.986 > positionC: 30
19:14:34.992 > positionC: 31
19:14:34.997 > positionC: 32
19:14:35.002 > positionC: 33
19:14:35.007 > positionC: 34
19:14:35.013 > positionC: 35
19:14:35.018 > positionC: 36
19:14:35.023 > positionC: 37
19:14:35.028 > positionC: 38
19:14:35.034 > positionC: 39
19:14:35.039 > positionC: 40
19:14:35.044 > positionC: 41
19:14:35.050 > positionC: 42
19:14:35.055 > positionC: 43
19:14:35.060 > positionC: 44
19:14:35.066 > positionC: 45
19:14:35.071 > positionC: 46
19:14:35.076 > positionC: 47
19:14:35.081 > positionC: 48
19:14:35.087 > positionC: 49
19:14:35.092 > positionC: 50
