19:27:59.503 > okok---------------------------------------:1
19:28:02.494 > positionC: 0
19:28:02.499 > positionC: 1
19:28:02.504 > positionC: 2
19:28:02.510 > positionC: 3
19:28:02.515 > positionC: 4
19:28:02.520 > positionC: 5
19:28:02.526 > positionC: 6
19:28:02.531 > positionC: 7
19:28:02.536 > positionC: 8
19:28:02.541 > positionC: 9
19:28:02.547 > positionC: 10
19:28:02.552 > positionC: 11
19:28:02.557 > positionC: 12
19:28:02.562 > positionC: 13
19:28:02.568 > positionC: 14
19:28:02.573 > positionC: 15
19:28:02.578 > positionC: 16
19:28:02.584 > positionC: 17
19:28:02.589 > positionC: 18
19:28:02.594 > positionC: 19
19:28:02.599 > positionC: 20
19:28:02.605 > positionC: 21
19:28:02.610 > positionC: 22
19:28:02.615 > positionC: 23
19:28:02.620 > positionC: 24
19:28:02.626 > positionC: 25
19:28:02.631 > positionC: 26
19:28:02.636 > positionC: 27
19:28:02.642 > positionC: 28
19:28:02.647 > positionC: 29
19:28:02.652 > positionC: 30
19:28:02.658 > positionC: 31
19:28:02.663 > positionC: 32
19:28:02.668 > positionC: 33
19:28:02.673 > positionC: 34
19:28:02.679 > positionC: 35
19:28:02.684 > positionC: 36
19:28:02.689 > positionC: 37
19:28:02.694 > positio�okok---------------------------------------:1
19:28:06.445 > positionC: 0
19:28:06.450 > positionC: 1
19:28:06.456 > positionC: 2
19:28:06.461 > positionC: 3
19:28:06.466 > positionC: 4
19:28:06.471 > positionC: 5
19:28:06.477 > positionC: 6
19:28:06.482 > positionC: 7
19:28:06.487 > positionC: 8
19:28:06.492 > positionC: 9
19:28:06.498 > positionC: 10
19:28:06.503 > positionC: 11
19:28:06.508 > positionC: 12
19:28:06.513 > positionC: 13
19:28:06.519 > positionC: 14
19:28:06.524 > positionC: 15
19:28:06.530 > positionC: 16
19:28:06.535 > positionC: 17
19:28:06.540 > positionC: 18
19:28:06.545 > positionC: 19
19:28:06.550 > positionC: 20
19:28:06.556 > positionC: 21
19:28:06.561 > positionC: 22
19:28:06.566 > positionC: 23
19:28:06.572 > positionC: 24
19:28:06.577 > positionC: 25
19:28:06.582 > positionC: 26
19:28:06.588 > positionC: 27
19:28:06.593 > positionC: 28
19:28:06.598 > positionC: 29
19:28:06.603 > positionC: 30
19:28:06.609 > positionC: 31
19:28:06.614 > positionC: 32
19:28:06.619 > positionC: 33
19:28:06.624 > positionC: 34
19:28:06.630 > positionC: 35
19:28:06.635 > positionC: 36
19:28:06.640 > positionC: 37
19:28:06.645 > posit�okok---------------------------------------:1
19:28:10.396 > positionC: 0
19:28:10.401 > positionC: 1
19:28:10.406 > positionC: 2
19:28:10.412 > positionC: 3
19:28:10.417 > positionC: 4
19:28:10.422 > positionC: 5
19:28:10.427 > positionC: 6
19:28:10.433 > positionC: 7
19:28:10.438 > positionC: 8
19:28:10.443 > positionC: 9
19:28:10.449 > positionC: 10
19:28:10.454 > positionC: 11
19:28:10.459 > positionC: 12
19:28:10.464 > positionC: 13
19:28:10.470 > positionC: 14
19:28:10.475 > positionC: 15
19:28:10.480 > positionC: 16
19:28:10.485 > positionC: 17
19:28:10.491 > positionC: 18
19:28:10.496 > positionC: 19
19:28:10.501 > positionC: 20
19:28:10.507 > positionC: 21
19:28:10.512 > positionC: 22
19:28:10.517 > positionC: 23
19:28:10.523 > positionC: 24
19:28:10.528 > positionC: 25
19:28:10.533 > positionC: 26
19:28:10.538 > positionC: 27
19:28:10.544 > positionC: 28
19:28:10.549 > positionC: 29
