23:34:51.749 > Stop |  | servo turn 90 degree | gripper off
23:34:51.874 > Stop |  | servo turn 90 degree | gripper off
23:34:52.000 > Stop |  | servo turn 90 degree | gripper off
23:34:52.126 > Stop |  | servo turn 90 degree | gripper off
23:34:52.251 > Stop |  | servo turn 90 degree | gripper off
23:34:52.377 > Stop |  | servo turn 90 degree | gripper off
23:34:52.503 > Stop |  | servo turn 90 degree | gripper off
23:34:52.628 > Stop |  | servo turn 90 degree | gripper off
23:34:52.754 > Stop |  | servo turn 90 degree | gripper off
23:34:52.880 > Stop |  | servo turn 90 degree | gripper off
23:34:53.005 > Stop |  | servo turn 90 degree | gripper off
23:34:53.131 > Stop |  | servo turn 90 degree | gripper off
23:34:53.257 > Stop |  | servo turn 90 degree | gripper off
23:34:53.382 > Stop |  | servo turn 90 degree | gripper off
23:34:53.508 > Stop |  | servo turn 90 degree | gripper off
23:34:53.634 > Stop |  | servo turn 90 degree | gripper off
23:34:53.759 > Stop |  | servo turn 90 degree | gripper off
23:34:53.885 > Stop |  | servo turn 90 degree | gripper off
23:34:54.011 > Stop |  | servo turn 90 degree | gripper off
23:34:54.136 > Stop |  | servo turn 90 degree | gripper off
23:34:54.262 > Stop |  | servo turn 90 degree | gripper off
23:34:54.388 > Stop |  | servo turn 90 degree | gripper off
23:34:54.513 > Stop |  | servo turn 90 degree | gripper off
23:34:54.639 > Stop |  | servo turn 90 degree | gripper off
23:34:54.765 > Stop |  | servo turn 90 degree | gripper off
23:34:54.890 > Stop |  | servo turn 90 degree | gripper off
23:34:55.016 > Stop |  | servo turn 90 degree | gripper off
23:34:55.142 > Stop |  | servo turn 90 degree | gripper off
23:34:55.267 > Stop |  | servo turn 90 degree | gripper off
23:34:55.393 > Stop |  | servo turn 90 degree | gripper off
23:34:55.519 > Stop |  | servo turn 90 degree | gripper off
23:34:55.645 > Stop |  | servo turn 90 degree | gripper off
23:34:55.770 > Stop |  | servo turn 90 degree | gripper off
